profileUrl,fullName,title,postDate,textContent,likeCount,commentCount,name,query,timestamp,companyUrl,companyName,followerCount,error
https://www.linkedin.com/in/ACoAAArH83oB1xAG4mepBmD8bjVbC_EneBEG9oo?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAArH83oB1xAG4mepBmD8bjVbC_EneBEG9oo,Jurie Victor,Director of Finance & Accounting at Spikeball Inc.,1d,"Tl;dr: Kicking ass, best in class. Spikeball team, mean machine!  The embodiment of our company values!!  In the coming month, Spikeball Inc. will celebrate the 1 year anniversary of going live on NetSuite.   Few on our team will argue...",40,6,Jurie Victor,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAAAA_dH4BFFUHvxGq8Zl1x-1aUYkFnOvFcho?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAA_dH4BFFUHvxGq8Zl1x-1aUYkFnOvFcho,Lisa David,Partner at eCapital Advisors | Connecting business expertise & data analytics to enable dramatically improved decision-making,2d,"...business.   Workday Adaptive Planning makes it easy to create, maintain, and share clear operational and financial KPIs and insights.   Workday features in-memory and embedded machine learning (ML) capabilities that...",67,11,Lisa David,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAAAjPDPoBKVBfU-cFpRHYcDGlZaEypt0t9uw?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAjPDPoBKVBfU-cFpRHYcDGlZaEypt0t9uw,David Younger,Co-Founder / CEO at A-Alpha Bio - We're hiring!,2w,"...the impact of AlphaSeq for drug discovery - by growing our team, increasing our partnering capabilities, and further incorporating machine learning to extract additional value from our protein interaction data.   I am also thrilled to welcome...",421,65,David Younger,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAAADUDSwBECdulO13vsaFa8GNt2_63iFPcn8?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAADUDSwBECdulO13vsaFa8GNt2_63iFPcn8,Prashant K Dhingra,Managing Director - Machine Learning (AI Transformation),4d,".... There are no prior/ textbook solutions to such  problems.   Ideal candidates are self-starter,  experience in data science , ML operationalization, detail oriented and highly analytical with a strong customer focus.   Machine Learning...",198,11,Prashant K Dhingra,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAAAAhTGgB9SDxv3iUVIVzyP00iAdJ0fEVbT8?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAhTGgB9SDxv3iUVIVzyP00iAdJ0fEVbT8,Ross Mackay,Executive with Global Experience in Leadership and Talent Development | Finance and Business Transformation/Digitalisation Specialist,2d,"...â€ between ðŸ•“ 9am-11am SGT/MYT on the ðŸ“…19th of October.  Iâ€™ll be covering:  Â·Understanding Automation, AI and Machine Learning as critical strategic capabilities to shape the future of finance Â·Learnings from cross...",107,9,Ross Mackay,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAABCImDQB20UHaltGqdQIkDmtTimawCi7eRg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABCImDQB20UHaltGqdQIkDmtTimawCi7eRg,Vivek Nagare,"Data Scientist with over 2+ years of experience in Data Science and Analytics including Machine Learning, Data Mining and Statistical Analysis | GCP, AWS | Numpy | Pandas | Skit-Learn | SQL | EDA | Data Cleaning |",1d,"We are in need of one Machine Learning/Data Scientist engineer for our GMST ML team We want to search across both Phoenix, AZ (USA) and India/Bangalore  Requirements: Â· 4+ years of experience working with Big Data, Spark, Python, Machine...",7,2,Vivek Nagare,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAACEQnWIBNC1dznT3GiN2wu8iyUItqbpj9VI?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACEQnWIBNC1dznT3GiN2wu8iyUItqbpj9VI,Christine Michelle Chadwick,"Counterintelligence Global Accounts, Internet Spyder ðŸ•¸ International Security, Rule of Law",8h,".... xAPI is central to interoperable data aggregation for signals intelligence - finance / machine learning:   The EIDCC, the Experience Graph and the Future of Human Capital Analytics  https://lnkd.in/g4iHq8Eq...",15,2,Christine Michelle Chadwick,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAAABUmMEBfnc8Ey0qODCgUMAAr5XLSnCKMuE?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAABUmMEBfnc8Ey0qODCgUMAAr5XLSnCKMuE,KJ Lian,In God we trust. All others must bring data.,1d,https://lnkd.in/eXTn8N37 #machinelearning #datamodeling #technology #dataarchitecture #dataanalytics,19,1,KJ Lian,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAAABkTKQBi_717TVbFOdXAhn3GB-nAEtTJIA?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAABkTKQBi_717TVbFOdXAhn3GB-nAEtTJIA,Chris Wolpert,"Founder, Consultant, Author, Speaker",1w,"â€œWe think machine learning, as it relates to healthcare and life sciences, is extraordinary.""  Ruth Porat  #NextGenerationHealthcare #LessRisk #BetterOutcomes #ControlledCosts #Executive #csuite #ceo #cfo #hr #businessfinance #finance...",24,28,Chris Wolpert,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAAABW4gkBnXBIUoxPCROBOE2q7tqQY3TiZnU?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAABW4gkBnXBIUoxPCROBOE2q7tqQY3TiZnU,Brian Jorgenson,Global Technology Product Management | General Manager | Strategy | Marketing | Award-Winning Products | Sales,2d,Congrats to the team!  Another award winning product!,46,4,Brian Jorgenson,machine learning finance,2021-09-23T19:19:18.914Z,,,,
https://www.linkedin.com/in/ACoAAAN5tRgBowUT9ALcdc-Gst51OtBXBwfKVSY?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAN5tRgBowUT9ALcdc-Gst51OtBXBwfKVSY,"Martha Lozano, MPA",Workforce Development Consultant at Employment Transitional Services,2d,"Weâ€™re looking for top talent in engineering, IT, cybersecurity, artificial intelligence and machine learning, and operations like finance, supply chain and many more.   https://lnkd.in/dEAwmWtF",20,3,"Martha Lozano, MPA",machine learning finance,2021-09-23T19:19:21.040Z,,,,
https://www.linkedin.com/in/ACoAAAQYKvkBnpVr-y_Ldf23oFdPkdhGAPLuBSk?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAQYKvkBnpVr-y_Ldf23oFdPkdhGAPLuBSk,Jack Owens,"Senior Product Marketing Manager at Samsara, Inc",20h,"Samsara is #hiring! Our Marketing organization is growing and hiring across a number of roles. If you like working collaboratively, learning new things, and solving impactful problems - come work with me!  Why join Samsara?  - Build a...",9,1,Jack Owens,machine learning finance,2021-09-23T19:19:21.040Z,,,,
https://www.linkedin.com/in/ACoAACTc2gkBDt9BYSOrb8qlKvnat3YemD3rU7M?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACTc2gkBDt9BYSOrb8qlKvnat3YemD3rU7M,Elie Celnikier,Machine Learning Engineer @ Evolution Devices | Formerly Computational Biology Grad @ UC Berkeley,1d,"...than a year after starting my journey as a Machine Learning Engineer in the team, I can say that the impact on peopleâ€™s lives is a reality. Using cutting-edge ML algorithms to give our device the power to adapt to everyone is key. I am proud...",18,1,Elie Celnikier,machine learning finance,2021-09-23T19:19:21.040Z,,,,
https://www.linkedin.com/in/ACoAAAJcBs4Bxk6quvSztZGMQngykKoIFb1uBQw?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAJcBs4Bxk6quvSztZGMQngykKoIFb1uBQw,"Hossein Kazemi, PhD, CFA","Michael & Cheryl Philipp Distinguished Professor of Finance, Director of CISDM Research Center",1w,"...., Sanjiv Das, and Fahad Saleh, will discuss the Defi platforms, blockchain, machine learning and fintech.  https://lnkd.in/d7-RGmFQ Isenberg School of Management, UMass Amherst; University of Massachusetts Amherst; CAIA Association; Financial...",61,5,"Hossein Kazemi, PhD, CFA",machine learning finance,2021-09-23T19:19:21.040Z,,,,
https://www.linkedin.com/in/ACoAAAAnMaoBM0mGBBYktN5fqWzm9ZmpbOrZJrs?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAnMaoBM0mGBBYktN5fqWzm9ZmpbOrZJrs,Minh Trinh,Managing Partner at Rodeo AI,3d,"This is a primer on graph machine learning, an exciting area of research applicable to a various of topics in biology, social media, marketing, economics and finance #machinelearning #ai #graphanalytics #graphtheory #socialmedia...",,,Minh Trinh,machine learning finance,2021-09-23T19:19:21.041Z,,,,
https://www.linkedin.com/in/ACoAAALjryUBSLTPKtjybW2Rt9z6NcQyU_5INPU?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALjryUBSLTPKtjybW2Rt9z6NcQyU_5INPU,Niccolo De Masi,"CEO, dMY Technology - NYSE: RSI, GENI, DMYI, DMYQ",1d,$DMYI.  Today Fidelity Investments  joins Goldman Sachs  in recognising the criticality of IonQ  to the future of financial services.  The era of quantum advantage is arriving!,8,0,Niccolo De Masi,machine learning finance,2021-09-23T19:19:21.041Z,,,,
